index,name,category,iconIndex,count,description,price,sellPrice,usableInBattle,usableInField,effectType,effectValue,rarity
1,테아라,도구,11,12,HP 를 500 회복한다.,200,100,TRUE,TRUE,HealHp,500,N
2,테아라 발삼,도구,12,6,HP 를 2000 회복한다.,600,300,TRUE,TRUE,HealHp,2000,R
3,에페르,도구,21,8,EP 를 50 회복한다.,300,150,TRUE,TRUE,HealEp,50,N
4,소생의 향유,도구,31,2,전투 불능 상태를 회복하고 HP 를 절반 채운다.,1200,600,TRUE,FALSE,Revive,50,R
5,해독약,도구,41,5,독 상태를 해제한다.,150,70,TRUE,TRUE,CurePoison,0,N
11,배틀 소드,무기,101,1,ATK+120. 표준적인 전투용 장검.,1500,700,FALSE,FALSE,Str,120,N
12,강철 대검,무기,102,1,ATK+210. 무게가 있어 속도가 조금 떨어진다.,3200,1500,FALSE,FALSE,Str,210,R
13,성라의 창,무기,103,1,ATK+340. 성라 의식에 쓰이던 창.,8800,4000,FALSE,FALSE,Str,340,SR
21,배틀 가드,방어구,201,88,DEF+450 ADF+210. 내구성과 통기성이 우수한 최신 전투 전용 베스트.,2400,1100,FALSE,FALSE,Def,450,R
22,배틀 스파이크,방어구,202,88,DEF+180. 접지력이 뛰어난 전투용 부츠.,900,400,FALSE,FALSE,Def,180,N
23,성라의 신발,방어구,203,1,DEF+260 회피+8. 걸음이 눈에 띄게 가벼워진다.,5600,2600,FALSE,FALSE,Def,260,SR
24,강철 갑주,방어구,204,3,DEF+320. 무게가 있는 대신 방어력이 높다.,3000,1400,FALSE,FALSE,Def,320,R
31,수호의 반지,장식구,301,2,DEF+60. 착용자의 방어를 조금 끌어올린다.,800,380,FALSE,FALSE,Def,60,N
32,민첩의 팔찌,장식구,302,1,SPD+12. 행동 순서가 빨라진다.,1800,850,FALSE,FALSE,Speed,12,R
33,정밀의 목걸이,장식구,303,1,명중+10 크리티컬+5.,2200,1000,FALSE,FALSE,Hit,10,R
41,짐승의 가죽,재료,401,24,가공하면 방어구 재료가 된다.,60,30,FALSE,FALSE,,0,N
42,마수의 뼈,재료,402,17,단단하고 가볍다. 무기 강화에 쓰인다.,120,60,FALSE,FALSE,,0,N
43,마력 결정,재료,403,9,미세한 마력이 응축된 결정.,400,200,FALSE,FALSE,,0,R
44,성라의 파편,재료,404,3,출처를 알 수 없는 파편. 강한 기운이 느껴진다.,1500,700,FALSE,FALSE,,0,SR
