index,name,owner,type,power,costType,cost,castDelay,baseDelay,targetSide,targetShape,range,area,breakMult,unbalance,effectIds,animTrigger,description
1,이동,all,move,0,none,0,0,10,self,single,0,0,0,0,,,이동. BaseDelay 10
2,통상공격,all,attack,100,none,0,0,20,enemy,single,2.5,0,1,0,,Attack,기본 공격. BaseDelay 20
3,아이템,all,item,0,none,0,0,10,ally,single,3,0,0,0,,,아이템 사용. BaseDelay 10
4,방어,all,guard,0,none,0,0,20,self,single,0,0,0,0,513,,1턴 방어 태세
101,물살 베기,Ubi,craft,130,cp,20,0,20,enemy,single,2.5,0,1,5,,Attack,단일 물속성 베기
102,조수 가르기,Ubi,craft,90,cp,30,0,25,enemy,circle,3,2.5,1.2,5,511,Attack,범위 공격 + 방어력 감소
103,만조의 검,Ubi,scraft,320,cp,100,0,40,enemy,all,0,0,2,25,,MeleeAttack_TwoHanded,S크래프트. 적 전체
111,중격,Gwanwoo,craft,170,cp,25,0,25,enemy,single,2.5,0,1.5,10,,MeleeAttack_TwoHanded,단일 고위력 타격
112,철벽 태세,Gwanwoo,craft,0,cp,20,0,20,self,single,0,0,0,0,513,,자신 방어력 상승
113,풍압 참격,Gwanwoo,craft,110,cp,40,0,30,enemy,line,4,1.5,1.3,10,512,MeleeAttack_TwoHanded,직선 관통 + 속도 감소
114,불굴의 일격,Gwanwoo,scraft,300,cp,100,0,40,enemy,all,0,0,2,25,,MeleeAttack_TwoHanded,S크래프트. 적 전체
121,화염참,Zangbi,craft,150,cp,20,0,20,enemy,single,2.5,0,1,5,,Attack,단일 화염 베기
122,열풍 연격,Zangbi,craft,120,cp,30,0,25,enemy,line,4,1.5,1.5,10,521,Attack,직선 연격 + 기절
123,질풍 각성,Zangbi,craft,0,cp,25,0,20,self,single,0,0,0,0,514,,자신 속도 상승
124,홍련의 태도,Zangbi,scraft,360,cp,100,0,40,enemy,all,0,0,2,25,,MeleeAttack_TwoHanded,S크래프트. 적 전체
201,파이어 볼트,all,art,140,ep,30,20,15,enemy,single,6,0,1,0,,,단일 화염 아츠
202,아쿠아 블리드,all,art,120,ep,40,25,20,enemy,circle,6,2.5,1,0,511,,범위 수속성 아츠 + 방어력 감소
203,에어 스트라이크,all,art,130,ep,35,25,20,enemy,line,6,1.5,1,0,,,직선 풍속성 아츠
204,티어,all,art,200,ep,25,20,15,ally,single,6,0,0,0,,,단일 회복 아츠
205,티어 올,all,art,150,ep,45,30,20,ally,all,0,0,0,0,,,전체 회복 아츠
206,크리스탈 케이지,all,art,100,ep,50,40,25,enemy,all,0,0,1.2,0,522,,적 전체 + 동결
301,곰의 발톱,Bear,craft,130,cp,20,0,20,enemy,single,2.5,0,0,0,,,몬스터 단일 공격
302,포효,Bear,craft,160,cp,30,0,30,enemy,circle,3,3,0,0,521,,몬스터 범위 공격 + 기절
